"doyb","doya","type","count","meana","meanb","maxevi","meang1","meang2","meanDOP","meanDOH","meandoy","meanDSWR","meanTemp","meanLSWi","meanTmax","meanEVI_uncor","predictedDOP","predictedDOH"
296,40,"2015_Baker20",37,0.027,0.112,0.572,0.545,0.46,112,244,200,214.352243243243,291.983648648649,0.224216216216216,294.582864864865,0.244810810810811,106.40677492575,237.269847632129
296,40,"2015_Baker30",37,0.027,0.112,0.572,0.545,0.46,112,243,200,214.352243243243,291.983648648649,0.224216216216216,294.582864864865,0.244810810810811,106.40677492575,237.269847632129
296,40,"2015_Baker40",37,0.038,0.097,0.585,0.547,0.488,112,244,200,214.352243243243,291.983648648649,0.223324324324324,294.582864864865,0.24427027027027,104.704066533224,235.328900613928
296,48,"2015_Baker50",37,-0.01,0.102,0.654,0.664,0.552,112,244,200,214.352243243243,291.983648648649,0.243702702702703,294.582864864865,0.252864864864865,112.474381148515,244.666409629388
296,48,"2015_BottOfRes",37,-0.021,0.118,0.607,0.628,0.489,113,250,208,214.352243243243,291.983648648649,0.253783783783784,294.582864864865,0.257540540540541,117.028136482996,250.273841125116
296,48,"2015_BransfordEst",37,0.061,0.134,0.691,0.63,0.557,123,251,208,213.869189189189,292.086756756757,0.264081081081081,294.676108108108,0.288621621621622,119.09737304562,252.649460902368
296,48,"2015_CarrNorth",37,0.065,0.174,0.625,0.56,0.451,123,247,200,213.875864864865,291.984891891892,0.238189189189189,294.57472972973,0.274027027027027,114.868861809988,247.010838731315
296,48,"2015_CarrSouth",37,0.069,0.11,0.691,0.622,0.581,123,247,200,213.875864864865,291.984891891892,0.223513513513514,294.57472972973,0.277216216216216,110.876834771204,242.678361327612
296,48,"2015_Flat",37,0.003,0.181,0.605,0.602,0.424,142,257,208,213.875864864865,291.984891891892,0.229108108108108,294.57472972973,0.271189189189189,123.102160615517,257.125932458514
296,40,"2015_Frog40",37,0.042,0.165,0.51,0.468,0.345,96,226,200,214.352243243243,291.983648648649,0.213594594594595,294.582864864865,0.256810810810811,108.142172909736,238.962782535617
296,40,"2015_Haley",37,0.08,0.276,0.628,0.548,0.352,126,245,200,213.875864864865,291.984891891892,0.276459459459459,294.57472972973,0.343945945945946,126.545219889718,260.327449922633
296,64,"2015_HQShop",37,0.13,0.135,0.519,0.389,0.384,98,226,200,214.352243243243,291.983648648649,0.190702702702703,294.582864864865,0.262405405405405,99.6560662022256,228.950743620068
296,64,"2015_HwyShop40",37,0.13,0.135,0.519,0.389,0.384,96,227,200,214.352243243243,291.983648648649,0.190702702702703,294.582864864865,0.262405405405405,99.6560662022256,228.950743620068
296,48,"2015_Judys",37,0.088,0.207,0.61,0.522,0.403,122,239,208,214.651351351351,291.904216216216,0.237405405405405,294.503594594595,0.329027027027027,121.368676824423,254.837705425597
296,48,"2015_Kelly1",37,-0.01,0.102,0.654,0.664,0.552,121,252,200,213.875864864865,291.984891891892,0.243702702702703,294.57472972973,0.252864864864865,112.474381148515,244.666409629388
296,40,"2015_Kelly10",37,-0.001,0.19,0.73,0.731,0.54,150,267,216,213.869189189189,292.086756756757,0.299459459459459,294.676108108108,0.289513513513514,136.904353157317,273.945087914086
296,40,"2015_Kelly11",37,-0.001,0.183,0.698,0.699,0.515,150,278,216,213.869189189189,292.086756756757,0.301081081081081,294.676108108108,0.305324324324324,134.093803440247,270.606949931859
296,48,"2015_Kelly2",37,-0.021,0.118,0.607,0.628,0.489,121,252,208,213.875864864865,291.984891891892,0.253783783783784,294.57472972973,0.257540540540541,117.028136482996,250.273841125116
296,48,"2015_Kelly3",37,0.071,0.19,0.528,0.457,0.338,120,255,208,214.352243243243,291.983648648649,0.207891891891892,294.582864864865,0.266783783783784,115.321337327544,247.669840023395
296,40,"2015_Kelly4",37,0.035,0.128,0.657,0.622,0.529,120,252,216,213.875864864865,291.984891891892,0.257648648648649,294.57472972973,0.241810810810811,122.688231903065,257.261523096349
296,40,"2015_Kelly5",37,-0.043,0.134,0.717,0.76,0.583,123,259,208,213.875864864865,291.984891891892,0.284675675675676,294.57472972973,0.264513513513513,127.055080153085,262.250892640791
296,48,"2015_Kelly6",37,0.029,0.133,0.523,0.494,0.39,99,227,200,214.024567567568,292.072810810811,0.219891891891892,294.679972972973,0.241675675675676,105.840093732365,236.427257997673
296,32,"2015_Kelly7",37,0.007,0.177,0.551,0.544,0.374,99,233,200,213.869189189189,292.086756756757,0.264324324324324,294.676108108108,0.286567567567568,114.254478635597,246.246856326344
296,40,"2015_Kelly8",74,0.029,0.137,0.6,0.571,0.463,150,266,212,213.869189189189,292.086756756757,0.271756756756757,294.676108108108,0.241810810810811,118.256134098856,251.728812343389
296,40,"2015_Mid40Hwy",37,0.064,0.124,0.542,0.478,0.418,98,227,200,214.352243243243,291.983648648649,0.228648648648649,294.582864864865,0.247297297297297,103.7656028334,233.992346510591
296,40,"2015_Mid40West",37,0.064,0.124,0.542,0.478,0.418,96,226,200,214.352243243243,291.983648648649,0.228648648648649,294.582864864865,0.247297297297297,103.7656028334,233.992346510591
296,48,"2015_MidBransford",37,0.061,0.134,0.691,0.63,0.557,121,250,208,213.869189189189,292.086756756757,0.264081081081081,294.676108108108,0.288621621621622,119.09737304562,252.649460902368
296,48,"2015_Morris",37,0.075,0.219,0.658,0.583,0.439,126,245,200,213.875864864865,291.984891891892,0.264135135135135,294.57472972973,0.317027027027027,121.752167803847,254.975537635259
296,48,"2015_NewGround",37,0.031,0.189,0.591,0.56,0.402,126,247,216,214.352243243243,291.983648648649,0.228783783783784,294.582864864865,0.281216216216216,126.315232010706,261.176268229524
296,8,"2015_Pops",37,0.033,0.094,0.67,0.637,0.576,124,246,200,213.875864864865,291.984891891892,0.230567567567568,294.57472972973,0.254918918918919,109.84822144571,241.558313393077
296,56,"2015_SeedRice",37,0.055,0.155,0.645,0.59,0.49,128,239,200,213.875864864865,291.984891891892,0.25027027027027,294.57472972973,0.276351351351351,114.393418527289,246.580916034532
296,48,"2015_Shanes",37,0.037,0.198,0.585,0.548,0.387,124,245,216,213.875864864865,291.984891891892,0.222918918918919,294.57472972973,0.281297297297297,126.675755224986,261.543179034483
296,8,"2015_SIShop",37,0.046,0.11,0.706,0.66,0.596,124,246,200,213.875864864865,291.984891891892,0.232972972972973,294.57472972973,0.269243243243243,113.202933771848,245.48493368192
296,32,"2015_The90",37,0.078,0.174,0.492,0.414,0.318,98,228,200,214.352243243243,291.983648648649,0.212567567567568,294.582864864865,0.259918918918919,105.931744596989,236.227692317394
296,48,"2015_TopOfRes",37,0.025,0.143,0.61,0.585,0.467,113,244,208,214.352243243243,291.983648648649,0.228810810810811,294.582864864865,0.261081081081081,117.437862917235,250.579085189113
296,48,"2015_Walls3",37,0.068,0.166,0.498,0.43,0.332,93,226,200,214.352243243243,291.983648648649,0.194459459459459,294.582864864865,0.272675675675676,105.937749552807,236.295454271485
296,40,"2015_Walls5",37,0.042,0.165,0.51,0.468,0.345,93,225,200,214.352243243243,291.983648648649,0.213594594594595,294.582864864865,0.256810810810811,108.142172909736,238.962782535617
296,48,"2015_Way1",37,0.053,0.121,0.562,0.509,0.441,121,245,200,214.352243243243,291.983648648649,0.22372972972973,294.582864864865,0.266243243243243,105.298182981729,235.864186423841
296,40,"2015_Way2",37,0.064,0.111,0.531,0.467,0.42,98,233,208,214.352243243243,291.983648648649,0.254054054054054,294.582864864865,0.260432432432432,106.321092790056,237.408128571685
296,40,"2015_Way3",37,0.062,0.106,0.555,0.493,0.449,98,232,200,214.352243243243,291.983648648649,0.198675675675676,294.582864864865,0.249756756756757,102.493638220477,232.593810395704
296,48,"2015_Way4",37,-0.01,0.102,0.654,0.664,0.552,97,231,200,214.352243243243,291.983648648649,0.243702702702703,294.582864864865,0.252864864864865,112.474381148515,244.666409629388
